STN_ID,STN_CODE,NEXT_STATION_ID,UP_TIME_INTERVAL,DN_TIME_INTERVAL,ERTR,HALT_TIME,LINE_ID,DISTANCE
23,KKVS,0,0,0,0,20,6,0
33,SVSA,140,34,130,150,20,2,1.228
34,KESA,100,35,100,150,20,2,0.804
35,CPSA,100,36,110,150,20,2,0.905
36,CCSC,110,37,120,150,20,2,1.148
37,BCSD,80,38,80,150,20,2,0.795
38,SSSA,150,39,165,150,20,2,1.699
39,PBGB,160,40,195,150,20,2,2.306
40,SDHM,0,0,0,150,20,2,0
9,KESP,120,41,120,150,30,2,0.878
26,KDSW,340,25,160,0,20,1,1.759
1,KDMI,280,2,160,0,20,1,2.15121
2,KBEL,160,3,100,0,20,1,1.62479
3,KSHY,100,4,100,0,20,1,0.9285
25,KBAR,220,24,220,0,20,1,2.38
24,KNOA,220,1,280,0,20,1,2.091
4,KSHO,100,5,100,0,20,1,1.0005
5,KGPK,100,6,100,0,20,1,0.76649
6,KMHR,100,7,100,0,20,1,1.03651
7,KCEN,100,8,100,0,20,1,0.5975
8,KCWC,40,9,40,0,20,1,0.7045
9,KESP,100,10,100,0,20,1,0.80825
10,KPSK,40,11,40,0,20,1,0.72767
11,KMDI,100,12,100,0,20,1,1.01508
12,KRSD,100,13,100,0,20,1,0.848
13,KNBN,100,14,100,0,20,1,1.033
14,KJPK,100,15,100,0,20,1,0.621
15,KKHG,100,16,100,0,20,1,1.243
16,KRSB,100,17,160,0,20,1,1.344
17,KMUK,160,18,220,0,20,1,1.814
18,KNTJ,160,19,160,0,20,1,1.722
19,KMSN,100,20,100,0,20,1,1.053
20,KGTN,100,21,100,0,20,1,1.245
21,KKNZ,100,22,100,0,20,1,1.275
22,KSKD,160,23,220,0,20,1,1.576
23,KKVS,0,0,0,0,20,1,0
58,KBBR,145,59,150,0,20,3,1.335
62,KJKA,0,0,0,0,20,3,0
29,KKSK,120,28,120,0,20,6,1.096
27,KSJR,200,23,270,0,20,6,1.89
61,KTKP,160,62,170,0,20,3,1.456
59,KBCR,170,60,150,0,20,3,1.453
43,HWMM,0,0,0,150,30,2,0
56,KMJH,165,57,140,0,20,3,1.25
42,HWHM,120,43,120,150,30,2,1.057
30,KHMD,130,29,120,0,20,6,1.02
60,KSKB,135,61,130,0,20,3,1.222
41,MKNA,180,42,180,150,30,2,2.206
28,KJNN,150,27,150,0,20,6,1.393
57,KTRT,115,58,120,0,20,3,1.035
